course_num,credits,type,SLN
musap218,2,VLPA,18854
musap389,2,VLPA/I&S,18860
mused304,2,VLPA,18864
mused452,3,VLPA,18865
musen100,1,VLPA,18871
musen110,1,VLPA,18872
musen200,1,VLPA,18873
musen201,1,VLPA,18874
musen210,1,VLPA,18875
musen210,1,VLPA,18876
musen300,1,VLPA,18877
musen301,1,VLPA,18878
musen302,1,VLPA,18879
musen304,1,VLPA,18881
musen307,1,VLPA,18886
musen308,1,VLPA,18887
musen309,1,VLPA,18888
musen309,1,VLPA,18889
musen325,2,VLPA,18890
musen345,1,VLPA,18891
musen345,1,VLPA,18892
musen345,1,VLPA,18893
musen345,1,VLPA,18894
musen346,1,VLPA,18895
musen346,1,VLPA,18896
musen350,1,VLPA,18897
musen351,1,VLPA,18898
musen369,1,VLPA,18900
musen381,1,VLPA,18903
musen384,1,VLPA,18908
musen410,1,VLPA,18909
musen446,1,VLPA,18910
musen446,1,VLPA,18911
muhst210,3,VLPA,18839
muhst210,3,VLPA,18840
muhst210,3,VLPA,18841
muhst413,3,VLPA,18842
muhst425,3,VLPA,18843
muhst497,1,VLPA,18844
muhst497,1,VLPA,18845
muhst497,1,VLPA,18846
muhst497,1,VLPA,18847
arab412,5,VLPA,10382
phil100,5,I&S,20149
phil100,5,I&S,20150
phil100,5,I&S,20151
phil100,5,I&S,20153
phil102,5,VLPA/I&S,20155
phil102,5,VLPA/I&S,20159
phil120,5,"I&S/NW,QSR",20168
phil149,5,VLPA/I&S,20174
phil149,5,VLPA/I&S,20175
phil149,5,VLPA/I&S,20177
phil149,5,VLPA/I&S,20181
pols447,5,I&S,23789
pols456,5,I&S,23726
pols488,5,I&S,20653
norw312,5,VLPA,19428
bcms401,5,N/A,11312
soc235,5,"I&S,DIV",23324
soc235,5,"I&S,DIV",23329
soc403,5,I&S,21314
soc415,5,I&S,23437
soc496,0,I&S,21317
arch101,1,N/A,10391
arch200,5,VLPA,10395
arch200,5,VLPA,10397
arch200,5,VLPA,10398
arch300,6,N/A,10399
arch315,2,N/A,10400
arch315,2,N/A,10401
arch332,3,VLPA,10404
arch361,5,N/A,10408
arch410,3,VLPA,10416
arch410,3,VLPA,10417
arch435,3,N/A,10418
arch441,3,N/A,10419
arch481,3,N/A,10421
arch487,3,N/A,10422
arch498,1,N/A,10428
arch498,1,N/A,10429
arch498,1,N/A,10430
be405,6,N/A,11012
be498,1,N/A,11013
larch498,1,N/A,16961
